m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
256, 256, 1, 256, 256, 1, 146.767563
512, 512, 1, 512, 512, 1, 146.818253
768, 768, 1, 768, 768, 1, 61.609612
1024, 1024, 1, 1024, 1024, 1, 69.532639
1280, 1280, 1, 1280, 1280, 1, 69.706718
