m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 1, 4, 16.768559
8, 8, 1, 8, 1, 8, 73.492821
12, 12, 1, 12, 1, 12, 164.571426
16, 16, 1, 16, 1, 16, 296.811584
20, 20, 1, 20, 1, 20, 461.538452
24, 24, 1, 24, 1, 24, 652.075500
28, 28, 1, 28, 1, 28, 904.615356
