m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
256, 256, 1, 256, 256, 1, 1.739840
512, 512, 1, 512, 512, 1, 1.831017
768, 768, 1, 768, 768, 1, 2.117504
1024, 1024, 1, 1024, 1024, 1, 1.829238
1280, 1280, 1, 1280, 1280, 1, 2.460876
