m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
256, 256, 256, 1, 256, 1, 40.797237
512, 512, 512, 1, 512, 1, 27.067745
768, 768, 768, 1, 768, 1, 32.031982
1024, 1024, 1024, 1, 1024, 1, 16.189646
1280, 1280, 1280, 1, 1280, 1, 21.691067
