m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 32, 16, 16, 2, 3.340583
32, 32, 64, 32, 32, 2, 32.273148
48, 48, 96, 48, 48, 2, 32.066807
64, 64, 128, 64, 64, 2, 32.395451
80, 80, 160, 80, 80, 2, 31.212534
96, 96, 192, 96, 96, 2, 31.447666
112, 112, 224, 112, 112, 2, 30.503981
