m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 32, 16, 16, 2, 5.524186
32, 32, 64, 32, 32, 2, 7.721503
48, 48, 96, 48, 48, 2, 7.462046
64, 64, 128, 64, 64, 2, 11.417820
80, 80, 160, 80, 80, 2, 17.696871
96, 96, 192, 96, 96, 2, 20.723501
112, 112, 224, 112, 112, 2, 15.391726
