m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 14.014599
8, 8, 8, 1, 1, 8, 51.371239
12, 12, 12, 1, 1, 12, 86.184540
16, 16, 16, 1, 1, 16, 114.413414
20, 20, 20, 1, 1, 20, 161.888702
24, 24, 24, 1, 1, 24, 183.829788
28, 28, 28, 1, 1, 28, 206.996704
