m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
256, 256, 256, 1, 1, 256, 147.119003
512, 512, 512, 1, 1, 512, 146.818604
768, 768, 768, 1, 1, 768, 69.821419
1024, 1024, 1024, 1, 1, 1024, 69.789040
1280, 1280, 1280, 1, 1, 1280, 69.939392
