m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
256, 256, 1, 256, 1, 256, 54.472427
512, 512, 1, 512, 1, 512, 31.613800
768, 768, 1, 768, 1, 768, 43.204800
1024, 1024, 1, 1024, 1, 1024, 22.934423
1280, 1280, 1, 1280, 1, 1280, 24.474804
