m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 13.568905
8, 4, 4, 1, 1, 4, 25.685619
12, 4, 4, 1, 1, 4, 37.161293
16, 4, 4, 1, 1, 4, 48.761906
20, 4, 4, 1, 1, 4, 52.602737
24, 4, 4, 1, 1, 4, 63.296703
28, 4, 4, 1, 1, 4, 70.182770
