m, n, rs_src, cs_src, rs_dst, cs_dst, result
256, 256, 256, 1, 256, 1, PASS
512, 512, 512, 1, 512, 1, PASS
768, 768, 768, 1, 768, 1, PASS
1024, 1024, 1024, 1, 1024, 1, PASS
1280, 1280, 1280, 1, 1280, 1, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
256, 256, 1, 256, 1, 256, PASS
512, 512, 1, 512, 1, 512, PASS
768, 768, 1, 768, 1, 768, PASS
1024, 1024, 1, 1024, 1, 1024, PASS
1280, 1280, 1, 1280, 1, 1280, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
256, 256, 256, 1, 1, 256, PASS
512, 512, 512, 1, 1, 512, PASS
768, 768, 768, 1, 1, 768, PASS
1024, 1024, 1024, 1, 1, 1024, PASS
1280, 1280, 1280, 1, 1, 1280, PASS
