m, n, rs_src, cs_src, rs_dst, cs_dst, result
4, 4, 4, 1, 4, 1, PASS
8, 8, 8, 1, 8, 1, FAIL
12, 12, 12, 1, 12, 1, FAIL
16, 16, 16, 1, 16, 1, FAIL
20, 20, 20, 1, 20, 1, FAIL
24, 24, 24, 1, 24, 1, FAIL
28, 28, 28, 1, 28, 1, FAIL
m, n, rs_src, cs_src, rs_dst, cs_dst, result
4, 4, 1, 4, 1, 4, PASS
8, 8, 1, 8, 1, 8, FAIL
12, 12, 1, 12, 1, 12, FAIL
16, 16, 1, 16, 1, 16, FAIL
20, 20, 1, 20, 1, 20, FAIL
24, 24, 1, 24, 1, 24, FAIL
28, 28, 1, 28, 1, 28, FAIL
m, n, rs_src, cs_src, rs_dst, cs_dst, result
4, 4, 4, 1, 1, 4, FAIL
8, 8, 8, 1, 1, 8, FAIL
12, 12, 12, 1, 1, 12, FAIL
16, 16, 16, 1, 1, 16, FAIL
20, 20, 20, 1, 1, 20, FAIL
24, 24, 24, 1, 1, 24, FAIL
28, 28, 28, 1, 1, 28, FAIL
m, n, rs_src, cs_src, rs_dst, cs_dst, result
4, 4, 1, 4, 4, 1, FAIL
8, 8, 1, 8, 8, 1, FAIL
12, 12, 1, 12, 12, 1, FAIL
16, 16, 1, 16, 16, 1, FAIL
20, 20, 1, 20, 20, 1, FAIL
24, 24, 1, 24, 24, 1, FAIL
28, 28, 1, 28, 28, 1, FAIL
m, n, rs_src, cs_src, rs_dst, cs_dst, result
4, 4, 2, 4, 4, 2, FAIL
8, 8, 2, 8, 8, 2, FAIL
12, 12, 2, 12, 12, 2, FAIL
16, 16, 2, 16, 16, 2, FAIL
20, 20, 2, 20, 20, 2, FAIL
24, 24, 2, 24, 24, 2, FAIL
28, 28, 2, 28, 28, 2, FAIL
m, n, rs_src, cs_src, rs_dst, cs_dst, result
4, 4, 4, 1, 1, 4, FAIL
8, 4, 4, 1, 1, 4, FAIL
12, 4, 4, 1, 1, 4, FAIL
16, 4, 4, 1, 1, 4, FAIL
20, 4, 4, 1, 1, 4, FAIL
24, 4, 4, 1, 1, 4, FAIL
28, 4, 4, 1, 1, 4, FAIL
m, n, rs_src, cs_src, rs_dst, cs_dst, result
4, 4, 4, 1, 1, 4, FAIL
4, 8, 8, 1, 1, 8, FAIL
4, 12, 12, 1, 1, 12, FAIL
4, 16, 16, 1, 1, 16, FAIL
4, 20, 20, 1, 1, 20, FAIL
4, 24, 24, 1, 1, 24, FAIL
4, 28, 28, 1, 1, 28, FAIL
