m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
14, 14, 1, 14, 1, 14, 6.730577
18, 18, 1, 18, 1, 18, 7.201334
22, 22, 1, 22, 1, 22, 10.343722
26, 26, 1, 26, 1, 26, 12.621752
30, 30, 1, 30, 1, 30, 16.382252
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 2.119205
6, 6, 6, 1, 1, 6, 14.521008
10, 10, 10, 1, 1, 10, 25.210083
14, 14, 14, 1, 1, 14, inf
18, 18, 18, 1, 1, 18, 41.941750
22, 22, 22, 1, 1, 22, 62.117649
26, 26, 26, 1, 1, 26, 69.422333
30, 30, 30, 1, 1, 30, 97.472923
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 1.563518
6, 6, 1, 6, 6, 1, 10.640394
10, 10, 1, 10, 10, 1, 23.054754
14, 14, 1, 14, 14, 1, 34.486805
18, 18, 1, 18, 18, 1, 46.066349
22, 22, 1, 22, 22, 1, 66.453087
26, 26, 1, 26, 26, 1, 73.312241
30, 30, 1, 30, 30, 1, 97.959183
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 0.653061
6, 6, 12, 6, 6, 2, 4.660194
10, 10, 20, 10, 10, 2, 4.787552
14, 14, 28, 14, 14, 2, 5.467860
18, 18, 36, 18, 18, 2, 7.280217
22, 22, 44, 22, 22, 2, 7.626551
26, 26, 52, 26, 26, 2, 7.310413
30, 30, 60, 30, 30, 2, 10.226789
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.219822
6, 2, 2, 1, 1, 2, 3.631778
10, 2, 2, 1, 1, 2, 5.839416
14, 2, 2, 1, 1, 2, 39.529411
18, 2, 2, 1, 1, 2, 46.956524
22, 2, 2, 1, 1, 2, 57.081081
26, 2, 2, 1, 1, 2, 68.196724
30, 2, 2, 1, 1, 2, 78.260872
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 0.597015
2, 6, 6, 1, 1, 6, 3.627204
2, 10, 10, 1, 1, 10, 5.882353
2, 14, 14, 1, 1, 14, 8.205129
2, 18, 18, 1, 1, 18, 47.472527
2, 22, 22, 1, 1, 22, 57.391304
2, 26, 26, 1, 1, 26, 68.950279
2, 30, 30, 1, 1, 30, 16.252823
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 4, 1, 1.348315
8, 8, 8, 1, 8, 1, 19.948053
12, 12, 12, 1, 12, 1, 27.670135
16, 16, 16, 1, 16, 1, 33.518822
20, 20, 20, 1, 20, 1, 7.554891
24, 24, 24, 1, 24, 1, 10.725425
28, 28, 28, 1, 28, 1, 12.958677
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 1, 4, 1.663778
8, 8, 1, 8, 1, 8, 4.329199
12, 12, 1, 12, 1, 12, 9.592007
16, 16, 1, 16, 1, 16, 12.808005
20, 20, 1, 20, 1, 20, 9.972990
24, 24, 1, 24, 1, 24, 9.596002
28, 28, 1, 28, 1, 28, 7.442449
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 3.279248
8, 8, 8, 1, 1, 8, 15.468279
12, 12, 12, 1, 1, 12, 32.665405
16, 16, 16, 1, 1, 16, 64.267784
20, 20, 20, 1, 1, 20, 157.635468
24, 24, 24, 1, 1, 24, 166.153839
28, 28, 28, 1, 1, 28, 206.315796
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 4, 1, 8.033473
8, 8, 1, 8, 8, 1, 24.113029
12, 12, 1, 12, 12, 1, 78.013542
16, 16, 1, 16, 16, 1, 84.049248
20, 20, 1, 20, 20, 1, 91.428574
24, 24, 1, 24, 24, 1, 79.815239
28, 28, 1, 28, 28, 1, 74.283455
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 8, 4, 4, 2, 3.503650
8, 8, 16, 8, 8, 2, 4.342663
12, 12, 24, 12, 12, 2, 5.299800
16, 16, 32, 16, 16, 2, 6.312545
20, 20, 40, 20, 20, 2, 6.647739
24, 24, 48, 24, 24, 2, 7.164550
28, 28, 56, 28, 28, 2, 7.348565
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 4.866920
8, 4, 4, 1, 1, 4, 9.354445
12, 4, 4, 1, 1, 4, 12.113564
16, 4, 4, 1, 1, 4, 17.355932
20, 4, 4, 1, 1, 4, 18.181818
24, 4, 4, 1, 1, 4, 21.921980
28, 4, 4, 1, 1, 4, 25.168541
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 2.184300
4, 8, 8, 1, 1, 8, 9.331714
4, 12, 12, 1, 1, 12, 12.785793
4, 16, 16, 1, 1, 16, 17.104677
4, 20, 20, 1, 1, 20, 18.113209
4, 24, 24, 1, 1, 24, 21.532709
4, 28, 28, 1, 1, 28, 23.053175
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 4, 1, 6.772487
8, 8, 8, 1, 8, 1, 19.418457
12, 12, 12, 1, 12, 1, 27.559809
16, 16, 16, 1, 16, 1, 33.518822
20, 20, 20, 1, 20, 1, 33.461136
24, 24, 24, 1, 24, 1, 40.670784
28, 28, 28, 1, 28, 1, 36.254333
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 1, 4, 6.918919
8, 8, 1, 8, 1, 8, 14.797688
12, 12, 1, 12, 1, 12, 28.212246
16, 16, 1, 16, 1, 16, 33.926010
20, 20, 1, 20, 1, 20, 33.057850
24, 24, 1, 24, 1, 24, 37.626564
28, 28, 1, 28, 1, 28, 32.424606
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 15.867768
8, 8, 8, 1, 1, 8, 54.084511
12, 12, 12, 1, 1, 12, 80.747665
16, 16, 16, 1, 1, 16, 97.990433
20, 20, 20, 1, 1, 20, 103.671707
24, 24, 24, 1, 1, 24, 91.247528
28, 28, 28, 1, 1, 28, 95.512695
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 4, 1, 3.695861
8, 8, 1, 8, 8, 1, 26.994726
12, 12, 1, 12, 12, 1, 34.698795
16, 16, 1, 16, 16, 1, 43.512749
20, 20, 1, 20, 20, 1, 52.032520
24, 24, 1, 24, 24, 1, 57.147583
28, 28, 1, 28, 28, 1, 70.130447
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 8, 4, 4, 2, 2.748747
8, 8, 16, 8, 8, 2, 4.848485
12, 12, 24, 12, 12, 2, 5.301426
16, 16, 32, 16, 16, 2, 6.380062
20, 20, 40, 20, 20, 2, 6.727871
24, 24, 48, 24, 24, 2, 7.155280
28, 28, 56, 28, 28, 2, 10.057191
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 3.009404
8, 4, 4, 1, 1, 4, 4.615385
12, 4, 4, 1, 1, 4, 7.254408
16, 4, 4, 1, 1, 4, 23.308043
20, 4, 4, 1, 1, 4, 26.556017
24, 4, 4, 1, 1, 4, 38.400002
28, 4, 4, 1, 1, 4, 46.747829
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 7.950310
4, 8, 8, 1, 1, 8, 12.694215
4, 12, 12, 1, 1, 12, 15.177866
4, 16, 16, 1, 1, 16, 20.237154
4, 20, 20, 1, 1, 20, 20.210527
4, 24, 24, 1, 1, 24, 26.004515
4, 28, 28, 1, 1, 28, 33.600002
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 4, 1, 1.337047
8, 8, 8, 1, 8, 1, 4.135703
12, 12, 12, 1, 12, 1, 5.749459
16, 16, 16, 1, 16, 1, 6.944727
20, 20, 20, 1, 20, 1, 6.929907
24, 24, 24, 1, 24, 1, 8.445231
28, 28, 28, 1, 28, 1, 8.196193
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 1, 4, 2.642808
8, 8, 1, 8, 1, 8, 4.526968
12, 12, 1, 12, 1, 12, 5.257073
16, 16, 1, 16, 1, 16, 34.019932
20, 20, 1, 20, 1, 20, 33.195019
24, 24, 1, 24, 1, 24, 39.106083
28, 28, 1, 28, 1, 28, 35.935829
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 4.842371
8, 8, 8, 1, 1, 8, 17.336344
12, 12, 12, 1, 1, 12, 27.105883
16, 16, 16, 1, 1, 16, 36.900902
20, 20, 20, 1, 1, 20, 43.537415
24, 24, 24, 1, 1, 24, 49.160740
28, 28, 28, 1, 1, 28, 69.585800
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 4, 1, 4.782067
8, 8, 1, 8, 8, 1, 17.009966
12, 12, 1, 12, 12, 1, 27.472178
16, 16, 1, 16, 16, 1, 36.923077
20, 20, 1, 20, 20, 1, 43.835617
24, 24, 1, 24, 24, 1, 49.495167
28, 28, 1, 28, 28, 1, 78.728035
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 8, 4, 4, 2, 2.630137
8, 8, 16, 8, 8, 2, 4.587814
12, 12, 24, 12, 12, 2, 25.393095
16, 16, 32, 16, 16, 2, 30.582378
20, 20, 40, 20, 20, 2, 33.767147
24, 24, 48, 24, 24, 2, 34.882664
28, 28, 56, 28, 28, 2, 10.371513
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 5.289256
8, 4, 4, 1, 1, 4, 9.354445
12, 4, 4, 1, 1, 4, 12.785793
16, 4, 4, 1, 1, 4, 20.534760
20, 4, 4, 1, 1, 4, 26.482759
24, 4, 4, 1, 1, 4, 35.832039
28, 4, 4, 1, 1, 4, 46.106350
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 7.917526
4, 8, 8, 1, 1, 8, 11.925466
4, 12, 12, 1, 1, 12, 14.826255
4, 16, 16, 1, 1, 16, 18.686132
4, 20, 20, 1, 1, 20, 23.357664
4, 24, 24, 1, 1, 24, 34.439465
4, 28, 28, 1, 1, 28, 41.739128
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 4, 1, 4.854614
8, 8, 8, 1, 8, 1, 7.157502
12, 12, 12, 1, 12, 1, 8.888888
16, 16, 16, 1, 16, 1, 8.845378
20, 20, 20, 1, 20, 1, 8.186935
24, 24, 24, 1, 24, 1, 12.267282
28, 28, 28, 1, 28, 1, 12.998066
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 1, 4, 2.027455
8, 8, 1, 8, 1, 8, 3.974127
12, 12, 1, 12, 1, 12, 6.218064
16, 16, 1, 16, 1, 16, 7.040220
20, 20, 1, 20, 1, 20, 33.264034
24, 24, 1, 24, 1, 24, 39.128220
28, 28, 1, 28, 1, 28, 36.436871
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 6.597938
8, 8, 8, 1, 1, 8, 23.703703
12, 12, 12, 1, 1, 12, 32.542370
16, 16, 16, 1, 1, 16, 40.742706
20, 20, 20, 1, 1, 20, 55.587727
24, 24, 24, 1, 1, 24, 61.033112
28, 28, 28, 1, 1, 28, 82.816902
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 4, 1, 7.868853
8, 8, 1, 8, 8, 1, 33.464050
12, 12, 1, 12, 12, 1, 58.775509
16, 16, 1, 16, 16, 1, 95.552101
20, 20, 1, 20, 20, 1, 123.552124
24, 24, 1, 24, 24, 1, 130.169479
28, 28, 1, 28, 28, 1, 170.589310
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 8, 4, 4, 2, 9.078014
8, 8, 16, 8, 8, 2, 15.705523
12, 12, 24, 12, 12, 2, 17.805256
16, 16, 32, 16, 16, 2, 27.161802
20, 20, 40, 20, 20, 2, 29.990629
24, 24, 48, 24, 24, 2, 35.148739
28, 28, 56, 28, 28, 2, 36.059792
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 11.195335
8, 4, 4, 1, 1, 4, 21.098902
12, 4, 4, 1, 1, 4, 27.559809
16, 4, 4, 1, 1, 4, 33.832600
20, 4, 4, 1, 1, 4, 31.840796
24, 4, 4, 1, 1, 4, 34.646618
28, 4, 4, 1, 1, 4, 33.062729
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 4.648911
4, 8, 8, 1, 1, 8, 15.835052
4, 12, 12, 1, 1, 12, 19.525425
4, 16, 16, 1, 1, 16, 22.555065
4, 20, 20, 1, 1, 20, 21.476511
4, 24, 24, 1, 1, 24, 23.728117
4, 28, 28, 1, 1, 28, 28.717949
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 4, 1, 2.617587
8, 8, 8, 1, 8, 1, 4.167119
12, 12, 12, 1, 12, 1, 5.757121
16, 16, 16, 1, 16, 1, 6.959674
20, 20, 20, 1, 20, 1, 6.936416
24, 24, 24, 1, 24, 1, 8.448328
28, 28, 28, 1, 28, 1, 7.509878
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 1, 4, 2.622951
8, 8, 1, 8, 1, 8, 4.154720
12, 12, 1, 12, 1, 12, 5.728493
16, 16, 1, 16, 1, 16, 9.609009
20, 20, 1, 20, 1, 20, 11.224132
24, 24, 1, 24, 1, 24, 17.018343
28, 28, 1, 28, 1, 28, 18.908651
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 4.637681
8, 8, 8, 1, 1, 8, 13.298701
12, 12, 12, 1, 1, 12, 132.923065
16, 16, 16, 1, 1, 16, 177.060516
20, 20, 20, 1, 1, 20, 79.668045
24, 24, 24, 1, 1, 24, 98.531715
28, 28, 28, 1, 1, 28, 121.944260
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 4, 1, 5.348190
8, 8, 1, 8, 8, 1, inf
12, 12, 1, 12, 12, 1, 25.467943
16, 16, 1, 16, 16, 1, 28.683474
20, 20, 1, 20, 20, 1, 46.715328
24, 24, 1, 24, 24, 1, 37.191284
28, 28, 1, 28, 28, 1, 48.000000
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 8, 4, 4, 2, 5.517241
8, 8, 16, 8, 8, 2, 8.157196
12, 12, 24, 12, 12, 2, 9.613352
16, 16, 32, 16, 16, 2, 9.828827
20, 20, 40, 20, 20, 2, 9.158558
24, 24, 48, 24, 24, 2, 11.046827
28, 28, 56, 28, 28, 2, 14.277260
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 4.314607
8, 4, 4, 1, 1, 4, 7.603960
12, 4, 4, 1, 1, 4, 8.603436
16, 4, 4, 1, 1, 4, 24.615385
20, 4, 4, 1, 1, 4, 31.067961
24, 4, 4, 1, 1, 4, 40.069565
28, 4, 4, 1, 1, 4, 49.502762
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 4.923077
4, 8, 8, 1, 1, 8, 9.230769
4, 12, 12, 1, 1, 12, 10.878187
4, 16, 16, 1, 1, 16, 40.634918
4, 20, 20, 1, 1, 20, 88.073395
4, 24, 24, 1, 1, 24, 111.844658
4, 28, 28, 1, 1, 28, 40.000000
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 4, 1, 1.349262
8, 8, 8, 1, 8, 1, 3.607327
12, 12, 12, 1, 12, 1, 7.840291
16, 16, 16, 1, 16, 1, 6.956522
20, 20, 20, 1, 20, 1, 6.914932
24, 24, 24, 1, 24, 1, 8.429782
28, 28, 28, 1, 28, 1, 9.560004
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 1, 4, 3.072000
8, 8, 1, 8, 1, 8, 4.539007
12, 12, 1, 12, 1, 12, 5.833896
16, 16, 1, 16, 1, 16, 7.053961
20, 20, 1, 20, 1, 20, 8.141803
24, 24, 1, 24, 1, 24, 11.828527
28, 28, 1, 28, 1, 28, 13.518212
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 2.731152
8, 8, 8, 1, 1, 8, 22.068964
12, 12, 12, 1, 1, 12, 30.829618
16, 16, 16, 1, 1, 16, 68.115295
20, 20, 20, 1, 1, 20, 91.690544
24, 24, 24, 1, 1, 24, 106.584427
28, 28, 28, 1, 1, 28, 135.366913
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 1, 4, 4, 1, 5.348190
8, 8, 1, 8, 8, 1, 36.141174
12, 12, 1, 12, 12, 1, 50.232559
16, 16, 1, 16, 16, 1, 57.366947
20, 20, 1, 20, 20, 1, 59.850372
24, 24, 1, 24, 24, 1, 49.300999
28, 28, 1, 28, 28, 1, 70.104324
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 8, 4, 4, 2, 2.876405
8, 8, 16, 8, 8, 2, 4.261931
12, 12, 24, 12, 12, 2, 7.206005
16, 16, 32, 16, 16, 2, 10.289733
20, 20, 40, 20, 20, 2, 13.665480
24, 24, 48, 24, 24, 2, 16.914230
28, 28, 56, 28, 28, 2, 20.814159
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 5.722802
8, 4, 4, 1, 1, 4, 8.757127
12, 4, 4, 1, 1, 4, 10.149780
16, 4, 4, 1, 1, 4, 31.093117
20, 4, 4, 1, 1, 4, 33.103447
24, 4, 4, 1, 1, 4, 37.101448
28, 4, 4, 1, 1, 4, 33.600002
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
4, 4, 4, 1, 1, 4, 2.188034
4, 8, 8, 1, 1, 8, 21.512606
4, 12, 12, 1, 1, 12, 61.935486
4, 16, 16, 1, 1, 16, 81.702126
4, 20, 20, 1, 1, 20, 18.373207
4, 24, 24, 1, 1, 24, 21.293901
4, 28, 28, 1, 1, 28, 23.132530
